ID,title,content,label
SAMPLE_00,"현대차, 1월 美판매 15% 늘어…역대 최대","현대자동차그룹이 올 1월 미국 시장에서 전년 동기 대비 15% 증가한 총 12만 5천여 대를 판매하며, 역대 1월 기준 월간 최다 판매 기록을 경신했다. 이는 고금리와 경기 둔화 우려 속에서도 하이브리드차와 SUV 라인업의 인기가 지속된 데 따른 결과로 분석된다.

브랜드별로는 현대차가 6만 2천여 대, 기아가 6만 3천여 대를 판매하며 나란히 두 자릿수 성장률을 기록했다. 특히, 투싼, 싼타페, 스포티지 등 주력 SUV 모델들이 전체 실적을 견인했으며, 하이브리드 모델의 판매량은 전년 대비 40% 이상 급증하며 가파른 성장세를 보였다. 이는 높은 연비와 친환경성을 선호하지만 순수 전기차 구매는 망설이는 미국 소비자들의 수요를 성공적으로 공략했기 때문이다.

현대차 미국판매법인(HMA)의 한 관계자는 ""연초부터 시장의 기대를 뛰어넘는 강력한 판매 실적을 기록하게 되어 고무적""이라며 ""올해 출시될 신형 싼타페와 아이오닉 7 등 매력적인 신차들을 통해 이러한 성장세를 계속 이어갈 것""이라고 밝혔다.

연초부터 역대급 실적을 기록하며 쾌조의 스타트를 끊은 현대차그룹이 올해 미국 시장에서 GM, 포드 등 현지 업체들과의 경쟁을 뚫고 점유율을 더욱 확대해 나갈 수 있을지 귀추가 주목된다.",1
SAMPLE_01,"삼성SDI, 헝가리 46파이 라인 추진…유럽 고객 타깃","삼성SDI가 차세대 배터리로 주목받는 '46파이(지름 46mm)' 원통형 배터리의 유럽 생산 거점으로 헝가리 공장을 낙점하고, 신규 생산 라인 구축을 본격적으로 추진한다. 이는 BMW, 폭스바겐 등 유럽의 주요 완성차 업체들이 차세대 전기차 모델에 46파이 배터리 채택을 공식화함에 따라, 현지에서 안정적인 공급망을 구축하고 시장을 선점하기 위한 전략적 결정이다.

46파이 배터리는 기존 2170(지름 21mm, 높이 70mm) 원통형 배터리보다 에너지 용량은 5배, 출력은 6배 높은 반면, 생산 원가는 20% 이상 절감할 수 있어 '게임 체인저'로 불린다. 삼성SDI는 현재 천안 공장에서 46파이 배터리 샘플을 생산 중이며, 헝가리 괴드 공장에 구축될 신규 라인은 오는 2026년부터 본격적인 양산에 돌입할 예정이다.

삼성SDI 관계자는 ""헝가리 공장은 BMW, 아우디 등 우리의 핵심 고객사들과 지리적으로 인접해 있어 물류 효율성을 극대화하고 신속한 기술 지원이 가능하다""며 ""유럽 현지 생산을 통해 IRA와 유사한 유럽 핵심원자재법(CRMA) 규제에도 효과적으로 대응할 수 있다""고 밝혔다.

테슬라가 주도해 온 원통형 배터리 시장에 삼성SDI와 LG에너지솔루션 등 K-배터리 업체들이 본격적으로 뛰어들면서, '46파이' 표준을 둘러싼 기술 경쟁과 고객사 확보전은 더욱 치열해질 전망이다. 이번 삼성SDI의 투자는 유럽 전기차 배터리 시장의 판도를 바꿀 중요한 변수가 될 것으로 보인다.",1
SAMPLE_02,"美, 반도체 투자만 해도 稅혜택 韓, 설비투자만 '찔끔 감면'","미국이 자국 내 반도체 생산 시설 투자를 유치하기 위해 연구개발(R&D), 인력 양성 등 광범위한 분야에 걸쳐 파격적인 세제 혜택을 제공하는 반면, 한국은 단순 설비투자에 대해서만 제한적인 감면 혜택을 제공하고 있어 '반도체 전쟁'에서 뒤처질 수 있다는 위기감이 커지고 있다.

미국의 '반도체 과학법(CHIPS and Science Act)'은 반도체 생산 시설(팹) 건설 비용의 25%에 달하는 투자세액공제를 제공할 뿐만 아니라, R&D 비용, 인력 교육 및 훈련 비용에 대해서도 추가적인 세금 감면과 보조금을 지급한다. 이는 기업이 공장을 짓는 것에서 나아가, 지속 가능한 기술 혁신 생태계를 미국 내에 구축하도록 유도하는 종합적인 지원책이다.

반면, 국내 'K-칩스법(조세특례제한법 개정안)'은 대기업 기준 설비투자에 대한 세액공제율이 15%로 미국보다 낮고, R&D나 인력 양성에 대한 직접적인 세제 지원은 상대적으로 미미한 수준이다. 반도체 업계 관계자는 ""미국은 기업이 필요한 거의 모든 영역에서 세금 부담을 덜어주는 '당근'을 제시하고 있지만, 우리는 낡은 규제와 제한적인 지원으로 인해 기업 투자의 발목을 잡고 있는 형국""이라고 지적했다.

전문가들은 글로벌 반도체 패권 경쟁에서 승리하기 위해서는 단순 시설 투자 지원을 넘어, 설계(팹리스), 소재·부품·장비, R&D 인력 등 반도체 생태계 전반을 아우르는 과감하고 포괄적인 정책 지원이 시급하다고 입을 모은다. 미국의 공세에 맞서 국내 반도체 산업의 '초격차'를 유지하기 위한 정부의 보다 전향적인 정책 변화가 요구된다.",0
SAMPLE_03,인공지능 개발의 심장…국가 AI 컴퓨팅센터 2년 내 문 연다,"정부가 대한민국 인공지능(AI) 기술 개발의 핵심 인프라가 될 '국가 AI 컴퓨팅센터'를 향후 2년 내에 구축 완료하고 본격적인 운영에 들어간다. 이 센터는 국내 AI 스타트업과 연구기관들이 겪고 있는 고질적인 컴퓨팅 자원 부족 문제를 해결하고, 초거대 AI 모델 개발을 지원하는 'AI 심장' 역할을 수행하게 된다.

과학기술정보통신부는 최근 국가데이터정책위원회를 통해, 총 2,000 PFLOPS(페타플롭스, 1초당 1,000조 번 연산) 이상의 연산 능력을 갖춘 슈퍼컴퓨터를 도입하는 내용의 센터 구축 계획을 확정했다. 이는 국내 기업과 대학, 연구소들이 엔비디아의 최신 GPU 등을 활용하여 대규모 언어 모델(LLM)이나 생성형 AI를 개발하는 데 필요한 막대한 컴퓨팅 파워를 안정적으로 제공하기 위함이다.

과기정통부 관계자는 ""지금까지 국내 중소기업들은 막대한 비용 때문에 AI 모델 개발에 필요한 컴퓨팅 자원을 확보하는 데 큰 어려움을 겪어왔다""며, ""국가 AI 컴퓨팅센터는 이들에게 저렴하고 안정적인 서비스를 제공함으로써 국내 AI 기술 생태계의 경쟁력을 한 단계 끌어올리는 기폭제가 될 것""이라고 밝혔다.

정부는 센터 구축을 통해 국내 AI 기술 자립도를 높이고, 아마존웹서비스(AWS)나 마이크로소프트 애저(Azure)와 같은 글로벌 빅테크 기업에 대한 인프라 의존도를 낮추는 효과도 기대하고 있다. 향후 국가 AI 컴퓨팅센터가 국내 AI 산업의 혁신과 성장을 이끄는 핵심 거점으로 자리매김할 전망이다.",0
SAMPLE_04,"닛산 ""CEO 교체 준비""…혼다 합병 재시동 촉각","일본의 자동차 제조사 닛산이 실적 부진과 전동화 전환 지연에 대한 책임을 물어 현 최고경영자(CEO)를 교체할 준비에 착수했다는 보도가 나왔다. 업계에서는 이번 경영진 교체가 과거 여러 차례 수면 위로 떠올랐던 경쟁사 혼다와의 합병 논의를 재점화하기 위한 사전 작업일 수 있다는 분석이 제기되면서 긴장감이 고조되고 있다.

닛산은 현재 르노-미쓰비시와 함께 3사 동맹을 맺고 있지만, 전기차(EV) 플랫폼 개발과 소프트웨어 투자 등에서 글로벌 경쟁사에 뒤처지고 있다는 평가를 받아왔다. 이러한 위기 상황을 타개하기 위해, 일본 정부와 금융권을 중심으로 닛산과 혼다가 힘을 합쳐 '규모의 경제'를 실현하고 R&D 중복 투자를 줄여야 한다는 목소리가 꾸준히 제기되어 왔다.

자동차 산업 분석가는 ""닛산의 새로운 리더십은 기존 르노와의 관계를 재정립하고, 혼다와의 협력 가능성을 포함한 모든 전략적 옵션을 원점에서 재검토할 가능성이 높다""며 ""두 회사가 합병할 경우, 연간 생산량 1,000만 대에 육박하는 거대 자동차 그룹이 탄생하여 도요타, 폭스바겐 그룹과 어깨를 나란히 하게 될 것""이라고 전망했다.

물론 수십 년간 이어져 온 두 회사의 라이벌 관계와 복잡한 지분 구조 등은 합병에 있어 여전히 큰 장애물이다. 하지만 전기차와 자율주행이라는 거대한 패러다임 전환 앞에서 '생존을 위한 통합'이라는 명분이 힘을 얻고 있는 만큼, 향후 닛산의 리더십 변화가 일본 자동차 산업의 지각 변동을 일으키는 신호탄이 될지 귀추가 주목된다.",1
SAMPLE_05,로봇이 조립하고 AI가 검사…다품종 소량생산 최적 체계 구현,"국내 한 중견 가전업체가 로봇과 인공지능(AI)을 결합한 '지능형 셀(Cell) 생산 방식'의 스마트팩토리를 구축하여, 다품종 소량생산에 최적화된 차세대 제조 체계를 구현했다. 이는 소비자의 다양한 요구에 맞춰 맞춤형 제품을 신속하게 생산할 수 있는 유연 생산 시스템의 성공적인 사례로 평가받는다.

이 공장에서는 협동 로봇이 컨베이어 벨트 위에서 여러 모델의 공기청정기 부품을 정밀하게 조립하고, 조립이 완료되면 AI 비전 검사 시스템이 0.1초 만에 360도 스캔을 통해 미세한 흠집이나 조립 불량을 잡아낸다. 모든 공정 데이터는 디지털 트윈(Digital Twin) 기술을 통해 가상 공간에 실시간으로 구현되어, 문제 발생 시 즉각적인 원인 분석과 공정 최적화가 가능하다.

공장 관계자는 ""과거에는 생산 라인을 변경하는 데 꼬박 하루가 걸렸지만, 이제는 소프트웨어 설정 변경만으로 10분 안에 다른 제품을 생산할 수 있다""며 ""이를 통해 재고를 획기적으로 줄이고 고객의 주문에 즉각적으로 대응할 수 있게 됐다""고 밝혔다.

이러한 AI 기반의 유연 생산 시스템은 비단 가전제품뿐만 아니라, 화장품, 의료기기, 가구 등 다양한 산업 분야로 확산될 전망이다. 이는 국내 제조업이 인구 감소와 인건비 상승이라는 구조적 한계를 극복하고 글로벌 경쟁력을 한 단계 끌어올리는 핵심적인 해법이 될 것으로 보인다.",0
SAMPLE_06,멕시코 거점 韓 기업 한숨 돌렸지만…변동성 예의주시,"미국 정부가 당분간 멕시코산 제품에 대한 전면적인 관세 인상은 없다고 밝히면서, 멕시코를 북미 시장 공략의 핵심 생산 거점으로 활용해 온 국내 기업들은 일단 한숨을 돌렸다. 하지만 미국 대선 결과에 따라 통상 정책의 변동성이 여전히 큰 만큼, 안심하기는 이르다는 신중론이 우세하다.

멕시코는 미국과 국경을 맞대고 있어 물류비가 저렴하고, 북미자유무역협정(USMCA)에 따라 무관세 혜택을 누릴 수 있어 삼성전자, LG전자를 비롯한 다수의 국내 기업들이 생산 기지를 운영하고 있다. 만약 미국이 멕시코산 제품에 고율의 관세를 부과할 경우, 이들 기업의 가격 경쟁력은 치명적인 타격을 입을 수밖에 없는 구조다.

최근 미국 무역대표부(USTR) 대표가 ""기존의 USMCA 체제를 존중한다""는 입장을 재확인하면서 급한 불은 껐지만, 안심할 수는 없는 상황이다. 차기 행정부의 정책 방향에 따라 언제든지 관세 카드를 다시 꺼내들 수 있기 때문이다. KOTRA 관계자는 ""단기적인 리스크는 완화되었지만, 중장기적인 불확실성은 여전히 해소되지 않았다""며, ""우리 기업들은 미국 내 생산 비중을 높이는 '니어쇼어링' 전략을 병행하고, 공급망을 다변화하여 잠재적 리스크에 대비해야 한다""고 조언했다.

결국 멕시코에 진출한 우리 기업들은 '기회의 땅'이 지닌 잠재력과 '정치적 리스크'라는 양면성을 동시에 안고 있는 셈이다. 향후 미국의 통상 정책 변화를 예의주시하며 유연하게 대응할 수 있는 위기관리 능력이 기업의 생존을 좌우할 전망이다.",0
SAMPLE_07,올해 車 판매 1.9% 증가…저성장 기조 계속,"고금리와 경기 둔화의 영향으로 올해 국내 자동차 시장이 1.9% 성장에 그치며 저성장 국면을 이어갈 것이라는 전망이 나왔다. 한국자동차연구원은 최근 발표한 '2025년 자동차 시장 전망' 보고서를 통해 이같이 밝히고, 시장이 양적 팽창보다는 질적 변화에 집중하는 시기에 진입했다고 분석했다.

보고서에 따르면, 올해 국내 자동차 총 판매량은 약 177만 대로 예측되며, 이는 전년 대비 1.9% 증가한 수치다. 이러한 소폭 성장의 배경에는 하이브리드차의 꾸준한 인기와 주요 완성차 업체들이 출시하는 신형 전기차 모델에 대한 기대감이 자리 잡고 있다. 그러나 개별소비세 인하 조치 종료와 높은 할부 금리는 신차 구매 심리를 위축시키는 주요 요인으로 작용할 전망이다.

한국자동차연구원의 한 선임연구원은 ""과거와 같은 두 자릿수 성장률을 기대하기는 어려운 구조적 저성장 시대에 진입했다""며, ""특히 내연기관차에서 친환경차로의 전환 속도와 충전 인프라 확충 여부가 향후 시장 성장의 핵심 변수가 될 것""이라고 설명했다.

이러한 저성장 기조 속에서 완성차 업체들은 판매 대수 경쟁보다는 수익성 확보에 주력할 것으로 보인다. 고부가가치 차종인 SUV와 고급 브랜드의 판매 비중을 늘리고, 소프트웨어 중심 자동차(SDV) 관련 서비스를 통해 새로운 수익원을 창출하는 전략이 더욱 가속화될 전망이다.",1
SAMPLE_08,중국도 관세 즉각 맞불…광물수출 막고 美원유 10%P 추가관세,"미국이 중국산 전기차와 반도체 등에 대한 고율의 관세 부과를 발표하자, 중국 정부가 즉각적인 보복 조치를 단행하며 양국 간의 무역 갈등이 다시 격화되고 있다. 중국은 자국의 자원 우위를 무기 삼아 반도체 핵심 소재로 쓰이는 희귀 광물의 수출을 통제하고, 미국산 에너지 수입에 대해 추가 관세를 부과하는 '정밀 타격' 방식으로 맞대응에 나섰다.

중국 상무부는 미국의 관세 조치 발표 직후 성명을 통해 ""결연히 반대하며 엄정한 교섭을 제기한다""고 밝히고, 반도체 및 디스플레이 생산에 필수적인 갈륨과 게르마늄 관련 품목에 대한 수출 허가제를 강화한다고 발표했다. 이는 첨단 산업의 공급망을 통제함으로써 미국의 제재에 대응하겠다는 의도를 명확히 한 것이다.

또한, 중국은 셰일 혁명 이후 미국의 주요 수출품으로 부상한 원유에 대해 기존 관세에 더해 10%p의 추가 보복 관세를 부과하기로 결정했다. 이는 미국의 핵심 산업과 지지층인 '에너지 벨트'를 직접 겨냥한 조치로, 정치적 압박 효과를 극대화하려는 의도로 풀이된다.

미·중 양국의 '강 대 강' 대치가 재현되면서 글로벌 경제의 불확실성은 한층 더 커지고 있다. 양국의 무역 전쟁이 장기화될 경우, 글로벌 공급망 교란과 인플레이션 압력 가중은 불가피하다. 수출 의존도가 높은 우리 경제 역시 양국의 틈바구니에서 피해를 최소화하기 위한 정교한 통상 외교 전략이 시급한 상황이다.",0
SAMPLE_09,"현대차, 美 120만대 생산체제 구축…철강·부품·조립까지 현지서 해결","현대자동차그룹이 미국 조지아주에 건설 중인 전기차 전용 공장(HMGMA)이 완공되면, 기존 앨라배마 공장을 포함해 미국 내에서만 연간 120만 대 이상의 자동차를 생산할 수 있는 대규모 생산체제를 갖추게 된다. 여기에 최근 발표된 전기로 제철공장 건설 계획까지 더해지면서, 철강, 핵심부품, 최종 조립에 이르는 자동차 생산의 모든 과정을 미국 현지에서 해결하는 '완결형 공급망'을 구축하게 됐다.

이러한 전방위적인 현지화 전략은 미국의 보호무역주의 강화 흐름에 대응하기 위한 가장 확실한 해법으로 평가된다. 미국 내에서 생산된 부품을 사용하여 최종 조립까지 마친 '메이드 인 아메리카' 자동차는 잠재적인 고율 관세 부과 대상에서 제외될 뿐만 아니라, 인플레이션 감축법(IRA)의 전기차 보조금 혜택까지 온전히 누릴 수 있기 때문이다.

총 120만 대 생산체제는 현대차그룹이 GM, 포드, 도요타 등과 함께 미국 시장의 '빅 4' 반열에 오르는 중요한 발판이 될 전망이다. 한 자동차 산업 분석가는 ""현대차그룹의 전략은 단순한 현지 생산을 넘어, R&D와 부품 공급망, 생산, 판매, 금융까지 아우르는 '완전한 현지화'를 지향하고 있다""며 ""이는 어떤 통상 압박에도 흔들리지 않는 강력한 경쟁력을 제공할 것""이라고 분석했다.

지난 20여 년간 꾸준히 추진해 온 현대차그룹의 '미국 올인' 전략이 마침내 결실을 보고 있다. 완성차 생산 능력을 기반으로 한 이러한 견고한 현지화 체계는 현대차그룹이 북미 시장에서 지속 가능한 성장을 이어가는 핵심 동력이 될 것이다.",1
